"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"7654","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5706","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969807",NULL,,NULL,"0",NULL
"7655","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5707","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803",NULL,"10008510614",NULL,"0",NULL
"7656","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5708","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.1",NULL,"10003780685",NULL,"0",NULL
"7657","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5709","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.1-1",NULL,"10003780680",NULL,"0",NULL
"7658","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5710","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.1-2",NULL,"10003780671",NULL,"0",NULL
"7659","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5711","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.1-3",NULL,"10003780627",NULL,"0",NULL
"7660","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5712","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.2",NULL,"10003780807",NULL,"0",NULL
"7661","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5713","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.2-1",NULL,"10003780708",NULL,"0",NULL
"7662","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5714","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.2-2",NULL,"10003780671",NULL,"0",NULL
"7663","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5715","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.3",NULL,"10008510624",NULL,"0",NULL
"7664","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5716","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.3-1",NULL,"10008510624",NULL,"0",NULL
"7665","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5717","WEG_ITAJAI","48",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.3-2",NULL,"10008510624",NULL,"0",NULL
"7666","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5718","WEG_ITAJAI","192",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.3-3",NULL,"10008510624",NULL,"0",NULL
"7667","ANA GABRIELA",NULL,"679","4514028743-70",NULL,"5719","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","15970081-15969803.4",NULL,"10008510628",NULL,"0",NULL
"7668","ANA GABRIELA",NULL,"1578","4514820337-30",NULL,"5739","WEG_ITAJAI","27",NULL,NULL,"2023-11-30","2023-10-23","11496723",NULL,"10003133028",NULL,"0",NULL
"7669","ANA GABRIELA",NULL,"1677","4514820337-20",NULL,"5738","WEG_ITAJAI","27",NULL,NULL,"2023-11-30","2023-11-27","13590519",NULL,"10004232711",NULL,"0",NULL
"7670","ANA GABRIELA",NULL,"1676","4514820337-10",NULL,"5737","WEG_ITAJAI","27",NULL,NULL,"2023-11-30","2023-11-27","13590569",NULL,"10004232850",NULL,"0",NULL
"7671","ANA GABRIELA",NULL,"1673","4514992501-40",NULL,"5734","WEG_ITAJAI","12",NULL,NULL,"2023-11-29","2023-11-27","14613011",NULL,"10006080840",NULL,"0",NULL
"7672","ANA GABRIELA",NULL,"1673","4514992501-40",NULL,"5735","WEG_ITAJAI","12",NULL,NULL,"2023-11-29","2023-11-27","14613011-1",NULL,"10006080840 POS.1",NULL,"0",NULL
"7673","ANA GABRIELA",NULL,"1673","4514992501-40",NULL,"5736","WEG_ITAJAI","24",NULL,NULL,"2023-11-29","2023-11-27","14613011-2",NULL,"10006080840 POS.2",NULL,"0",NULL
"7674","ANA GABRIELA",NULL,"1674","4514992501-50",NULL,"5733","WEG_ITAJAI","-6","6","6","2023-11-29","2023-11-09","14609472",NULL,"10006072265",NULL,"0",NULL
"7675","ANA GABRIELA",NULL,"1675","4514992501-60",NULL,"5732","WEG_ITAJAI","6",NULL,NULL,"2023-12-11","2023-12-12","13989933",NULL,"10004907351",NULL,"0",NULL
"7676","ANA GABRIELA",NULL,"1672","4514992501-30",NULL,"5729","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624464",NULL,"10006081042",NULL,"0",NULL
"7677","ANA GABRIELA",NULL,"1672","4514992501-30",NULL,"5730","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624464-1",NULL,"10006081042",NULL,"0",NULL
"7678","ANA GABRIELA",NULL,"1672","4514992501-30",NULL,"5731","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624464-2",NULL,"10006081042",NULL,"0",NULL
"7679","ANA GABRIELA",NULL,"1671","4514992501-20",NULL,"5726","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624466",NULL,"10006080519",NULL,"0",NULL
"7680","ANA GABRIELA",NULL,"1671","4514992501-20",NULL,"5727","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624466-1",NULL,"10006080519",NULL,"0",NULL
"7681","ANA GABRIELA",NULL,"1671","4514992501-20",NULL,"5728","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","14624466-2",NULL,"10006080519",NULL,"0",NULL
"7682","ANA GABRIELA",NULL,"1670","4514992501-10",NULL,"5725","WEG_ITAJAI","6",NULL,NULL,"2023-11-29","2023-11-30","15453929",NULL,"10007577594",NULL,"0",NULL
"7683","ANA GABRIELA",NULL,"1669","42501649665-10",NULL,"5724","GE_PLT","4",NULL,NULL,"2023-11-28","2023-11-27","HVHV309110-02",NULL,"HV309110-02",NULL,"0",NULL
"7684","ANA GABRIELA",NULL,"5720","4201643792-30",NULL,"5720","GE_RMG","1",NULL,NULL,"2023-12-06",NULL,"HVHV308751-01",NULL,"HV308751-01",NULL,"0",NULL
"7685","ANA GABRIELA",NULL,"1668","4201643792-30",NULL,"5721","GE_RMG","1",NULL,NULL,"2023-12-06","2023-12-05","HVHV308751-01.1",NULL,"HV308751-01",NULL,"0",NULL
"7686","ANA GABRIELA",NULL,"1668","4201643792-30",NULL,"5722","WEG_ITAJAI","1",NULL,NULL,"2023-12-06","2023-12-05","HVHV308751-01.2",NULL,"HV308751-01",NULL,"0",NULL
"7687","ANA GABRIELA",NULL,"1668","4201643792-30",NULL,"5723","GE_RMG","1",NULL,NULL,"2023-12-06","2023-12-05","HVHV308751-01.3",NULL,"HV308751-01",NULL,"0",NULL
"7688","ANA GABRIELA","038/24","1682","4201648916","10","5590","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01","AL DEFLECTOR HIGH VOLTAGE OTEF72 IT-01","HV308716-XX","SIM","0","2"
"7689","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5591","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-1",NULL,"HV308716-XX",NULL,"0",NULL
"7690","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5593","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-1-01",NULL,"HV308716-XX",NULL,"0",NULL
"7691","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5592","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-1-02",NULL,"HV308716-X",NULL,"0",NULL
"7692","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5594","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-2",NULL,"HV308716-XX",NULL,"0",NULL
"7693","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5595","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-2-01",NULL,"HV308716-XX",NULL,"0",NULL
"7694","ANA GABRIELA",NULL,"1682","4201648916-10",NULL,"5596","GE_RMG","3",NULL,NULL,"2023-11-24",NULL,"HVHV308716-01-2-02",NULL,"HV308716-XX",NULL,"0",NULL
"7695","ANA GABRIELA",NULL,"1680","4201648919-10",NULL,"5741","GE_RMG","12","1","1","2023-11-11",NULL,"HVHV506008-01",NULL,"HV100089-XX VAR 02",NULL,"0",NULL
"7696","ANA GABRIELA",NULL,"1679","4201263133-10",NULL,"5740","GE_RMG","50",NULL,NULL,"2023-11-11","2023-11-07","HVHV506008-01",NULL,"HV100089-XX VAR 02",NULL,"0",NULL
"7697","ANA GABRIELA",NULL,"1681","4201648919-20",NULL,"5742","GE_RMG","12","47","47","2023-11-11",NULL,"HVHV506008-02",NULL,"HV100090-XX VAR 02",NULL,"0",NULL
